song1,song2,similarity,Cal_artist,Cal_user,Cal_final
The Cove,Nothing from Nothing,1.060939060939061,0,0,1.060939060939061
The Cove,Entre Dos Aguas,2.0133699633699633,0,0,2.0133699633699633
The Cove,Under Cold Blue Stars,2.638705738705739,0,0,2.638705738705739
The Cove,Riot Radio (Soundtrack Version),5.225688037452743,0,0,5.225688037452743
The Cove,Sin límites (I),0.4205128205128205,0,0,0.4205128205128205
The Cove,12 segundos de oscuridad,0.9418914418914419,0,0,0.9418914418914419
The Cove,Ears To The Ground (Album Version),3.7979242979242978,0,0,3.7979242979242978
The Cove,Food Chain (Album Version),3.0934926184926184,0,0,3.0934926184926184
The Cove,Stronger,0.6563467492260061,0,0,0.6563467492260061
The Cove,Constellations,0.761484593837535,0,0,0.761484593837535
The Cove,You're My Flame [Album Version],2.030952380952381,1,0,3.030952380952381
The Cove,Learn To Fly,1.5493395493395494,0,0,1.5493395493395494
The Cove,Apuesta Por El Rock 'N' Roll,3.4883384932920536,0,0,3.4883384932920536
The Cove,Paper Gangsta,2.4673669467787116,0,0,2.4673669467787116
The Cove,You Don't Have To Believe Me (Album Version),1.7638888888888888,0,0,1.7638888888888888
The Cove,Nothing Gives Me Pleasure,2.6817571317571316,0,0,2.6817571317571316
The Cove,Ugly Stories,1.808863358863359,0,0,1.808863358863359
The Cove,Soy,0.39285714285714285,0,0,0.39285714285714285
The Cove,Winter In The Hamptons,1.4244343891402715,0,0,1.4244343891402715
The Cove,Stacked Actors,1.7202797202797204,0,0,1.7202797202797204
The Cove,Sehr kosmisch,0.4895104895104896,0,0,0.4895104895104896
The Cove,Silvery Sleds (Album Version),4.991234255940138,0,0,4.991234255940138
The Cove,My Love Has Gone,1.233882783882784,0,0,1.233882783882784
The Cove,Hollywood Bass Player,2.932020757020757,0,0,2.932020757020757
The Cove,Heaven's gonna burn your eyes,2.751716584069525,0,0,2.751716584069525
The Cove,Leap Year,2.1428571428571423,0,0,2.1428571428571423
The Cove,Summertime (Album Version),1.753425985778927,0,0,1.753425985778927
The Cove,Pilgrim,2.113003663003663,0,0,2.113003663003663
The Cove,Outside Villanova (Album Version),2.4305555555555554,0,0,2.4305555555555554
The Cove,Let It Be Sung,1.132936507936508,0,0,1.132936507936508
The Cove,I'll Be Missing You (Featuring Faith Evans & 112)(Album Version),2.4896936396936393,0,0,2.4896936396936393
The Cove,Love Shack,2.642620124973066,0,0,2.642620124973066
The Cove,Clarity,1.4523809523809523,0,0,1.4523809523809523
The Cove,Vamos A Bailar,1.3329131652661066,0,0,1.3329131652661066
The Cove,I?'m A Steady Rollin? Man,1.8666666666666665,0,0,1.8666666666666665
The Cove,Nice To Fit In,2.3662464985994394,0,0,2.3662464985994394
The Cove,Futures [Album Version],1.9433066933066934,0,0,1.9433066933066934
The Cove,It Hasn't Been Long Enough (Album Version),2.2533993783993784,0,0,2.2533993783993784
The Cove,The Old Saloon,0.9857142857142858,0,0,0.9857142857142858
The Cove,Gimme Stitches,1.6382284382284382,0,0,1.6382284382284382
The Cove,Fever,1.2138655462184873,0,0,1.2138655462184873
The Cove,Behind The Sea [Live In Chicago],3.067099567099567,0,0,3.067099567099567
The Cove,Champion,0.9435579899976185,0,0,0.9435579899976185
The Cove,Breakout,1.4977522477522478,0,0,1.4977522477522478
The Cove,Do You Wanna Dance,5.370764203117144,0,0,5.370764203117144
The Cove,Speed Of Sound,1.6607142857142854,0,0,1.6607142857142854
The Cove,Laughing,0.8911010558069381,0,0,0.8911010558069381
The Cove,Ragged Wood,1.863869463869464,0,0,1.863869463869464
The Cove,Llueve,1.0,0,0,1.0
The Cove,His Majesty Rides (Album Version),2.08159936039193,0,0,2.08159936039193
The Cove,No So Silent Night (album version),3.5388111888111884,0,0,3.5388111888111884
The Cove,Street Lights,1.4745098039215687,0,0,1.4745098039215687
The Cove,Mykonos,1.1428571428571428,0,0,1.1428571428571428
The Cove,Christmas With Jesus (Album Version),3.2874847374847374,0,0,3.2874847374847374
The Cove,Wa Winjigo Ero,0.5,0,0,0.5
The Cove,Country Road,1.401098901098901,0,0,1.401098901098901
The Cove,The Pageant Of The Bizarre [Album Version],1.8904761904761904,0,0,1.8904761904761904
The Cove,Rain,1.0714285714285714,0,0,1.0714285714285714
The Cove,Givin' It Up (Album Version),1.3329131652661066,0,0,1.3329131652661066
The Cove,Oh No,1.6868131868131868,0,0,1.6868131868131868
The Cove,Love Song For No One,2.1525335775335774,0,0,2.1525335775335774
The Cove,Jewels And Gold,1.7839169000933706,0,0,1.7839169000933706
The Cove,Soft and Sweet,1.1428571428571428,0,0,1.1428571428571428
The Cove,Italian Dry Ice,3.5617216117216115,0,0,3.5617216117216115
The Cove,Wonderful (Album Version),1.3329131652661066,0,0,1.3329131652661066
The Cove,Warning,0.8928571428571428,0,0,0.8928571428571428
The Cove,83,2.1658341658341658,0,0,2.1658341658341658
The Cove,Carolina (Album Version),2.050258564964447,0,0,2.050258564964447
The Cove,Neon,2.524068088773971,0,0,2.524068088773971
The Cove,The Middle,1.282051282051282,0,0,1.282051282051282
The Cove,High and dry,2.0096570096570097,0,0,2.0096570096570097
The Cove,All That We Perceive,1.1666666666666665,0,0,1.1666666666666665
The Cove,El Otro Lado (Album Version),1.9995798319327729,0,0,1.9995798319327729
The Cove,The Christmas Song  (LP Version),3.926098901098901,0,0,3.926098901098901
The Cove,God_ Please Let Me Go Back,3.752219349278173,0,0,3.752219349278173
The Cove,Domesticated Lovers,2.2248917748917747,0,0,2.2248917748917747
The Cove,Our Swords (Soundtrack Version),5.3465710759828395,0,0,5.3465710759828395
The Cove,Are You In?,1.0677655677655677,0,0,1.0677655677655677
The Cove,Middle Management (Album Version),2.5716117216117214,0,0,2.5716117216117214
The Cove,Drive,0.7677350427350428,0,0,0.7677350427350428
The Cove,It's a Trip,1.282019528459157,0,0,1.282019528459157
The Cove,Georgia Brown,1.4642857142857144,0,0,1.4642857142857144
The Cove,Generator,1.6382284382284382,0,0,1.6382284382284382
The Cove,Come Back To Bed,3.0560583207642034,0,0,3.0560583207642034
The Cove,He Doesn't Know Why,1.2823676323676323,0,0,1.2823676323676323
The Cove,It's The Night Time,1.3434820081878904,0,0,1.3434820081878904
The Cove,Tu Quieres Volver,2.34695467930762,0,0,2.34695467930762
The Cove,Last Words (Soundtrack Version),5.751332980744745,0,0,5.751332980744745
The Cove,Summer Dress 2 (iodine),3.0553867700926522,0,0,3.0553867700926522
The Cove,Trani,1.6586080586080583,0,0,1.6586080586080583
The Cove,Bigger Isn't Better,2.032051282051282,0,0,2.032051282051282
The Cove,Sun Giant,2.285714285714285,0,0,2.285714285714285
The Cove,City Love,1.669695827048768,0,0,1.669695827048768
The Cove,Right Back,1.691471273824215,0,0,1.691471273824215
The Cove,Moonshine,2.677777777777778,0,0,2.677777777777778
The Cove,Lover,2.0601858925388337,1,0,3.0601858925388337
The Cove,Neural Rust,1.9348739495798317,0,0,1.9348739495798317
The Cove,Holes To Heaven,3.4576923076923074,0,0,3.4576923076923074
Nothing from Nothing,The Cove,1.060939060939061,0,0,1.060939060939061
Nothing from Nothing,Entre Dos Aguas,2.2484686881745706,0,0,2.2484686881745706
Nothing from Nothing,Under Cold Blue Stars,2.9359728506787333,0,1,3.9359728506787333
Nothing from Nothing,Riot Radio (Soundtrack Version),6.504069846562107,0,1,7.504069846562107
Nothing from Nothing,Sin límites (I),0.4666666666666667,0,1,1.4666666666666668
Nothing from Nothing,12 segundos de oscuridad,1.2603396603396604,0,1,2.2603396603396604
Nothing from Nothing,Ears To The Ground (Album Version),3.805593262946204,0,1,4.8055932629462035
Nothing from Nothing,Food Chain (Album Version),3.0701687201687204,0,1,4.07016872016872
Nothing from Nothing,Stronger,0.7105263157894737,0,0,0.7105263157894737
Nothing from Nothing,Constellations,0.8360536522301228,0,0,0.8360536522301228
Nothing from Nothing,You're My Flame [Album Version],2.0854880413703945,0,0,2.0854880413703945
Nothing from Nothing,Learn To Fly,2.23815987933635,0,0,2.23815987933635
Nothing from Nothing,Apuesta Por El Rock 'N' Roll,3.5614252878184764,0,0,3.5614252878184764
Nothing from Nothing,Paper Gangsta,2.107507688390041,0,1,3.107507688390041
Nothing from Nothing,You Don't Have To Believe Me (Album Version),2.0958097458097456,0,0,2.0958097458097456
Nothing from Nothing,Nothing Gives Me Pleasure,3.5949927523456933,0,1,4.594992752345693
Nothing from Nothing,Ugly Stories,2.0218325791855203,0,1,3.0218325791855203
Nothing from Nothing,Soy,0.4326923076923077,0,1,1.4326923076923077
Nothing from Nothing,Winter In The Hamptons,1.6169799498746866,0,1,2.6169799498746866
Nothing from Nothing,Stacked Actors,2.331623931623932,0,1,3.331623931623932
Nothing from Nothing,Sehr kosmisch,0.5538461538461539,0,0,0.5538461538461539
Nothing from Nothing,Silvery Sleds (Album Version),6.270442414482663,0,1,7.270442414482663
Nothing from Nothing,My Love Has Gone,1.5326923076923076,0,1,2.5326923076923076
Nothing from Nothing,Hollywood Bass Player,3.2041876424229367,0,1,4.204187642422937
Nothing from Nothing,Heaven's gonna burn your eyes,2.7996483908248613,0,1,3.7996483908248613
Nothing from Nothing,Leap Year,2.5666833166833167,0,1,3.5666833166833167
Nothing from Nothing,Summertime (Album Version),2.24823313940961,0,0,2.24823313940961
Nothing from Nothing,Pilgrim,2.318447891977304,0,1,3.318447891977304
Nothing from Nothing,Outside Villanova (Album Version),2.706199356199356,0,1,3.706199356199356
Nothing from Nothing,Let It Be Sung,1.2431623931623932,0,1,2.243162393162393
Nothing from Nothing,I'll Be Missing You (Featuring Faith Evans & 112)(Album Version),2.8431623931623933,0,1,3.8431623931623933
Nothing from Nothing,Love Shack,3.2354542516307223,0,1,4.235454251630722
Nothing from Nothing,Clarity,1.4398268398268397,0,0,1.4398268398268397
