the_first_song,the_second_song,word1,word2,result
The Cove,Undo,cove,undo,0
The Cove,Undo,cove,live,0
The Cove,Undo,water,undo,0
The Cove,Undo,water,live,0
The Cove,Undo,thicker,undo,0
The Cove,Undo,thicker,live,0
The Cove,Les Corps Glorieux (7 Visions De La Vie Des Ressuscités) (1939) : III L'Ange Aux Parfums,cove,iii,0.14285714285714285
The Cove,Les Corps Glorieux (7 Visions De La Vie Des Ressuscités) (1939) : III L'Ange Aux Parfums,cove,risen,0
The Cove,Les Corps Glorieux (7 Visions De La Vie Des Ressuscités) (1939) : III L'Ange Aux Parfums,cove,ones,0.14285714285714285
The Cove,Les Corps Glorieux (7 Visions De La Vie Des Ressuscités) (1939) : III L'Ange Aux Parfums,cove,glorious,0
The Cove,Les Corps Glorieux (7 Visions De La Vie Des Ressuscités) (1939) : III L'Ange Aux Parfums,cove,bodies,0.3333333333333333
The Cove,Les Corps Glorieux (7 Visions De La Vie Des Ressuscités) (1939) : III L'Ange Aux Parfums,cove,visions,0.13333333333333333
The Cove,Les Corps Glorieux (7 Visions De La Vie Des Ressuscités) (1939) : III L'Ange Aux Parfums,cove,perfumes,0.125
The Cove,Les Corps Glorieux (7 Visions De La Vie Des Ressuscités) (1939) : III L'Ange Aux Parfums,cove,life,0.16666666666666666
The Cove,Les Corps Glorieux (7 Visions De La Vie Des Ressuscités) (1939) : III L'Ange Aux Parfums,cove,angel,0.14285714285714285
The Cove,Les Corps Glorieux (7 Visions De La Vie Des Ressuscités) (1939) : III L'Ange Aux Parfums,cove,organ,0.5
The Cove,Les Corps Glorieux (7 Visions De La Vie Des Ressuscités) (1939) : III L'Ange Aux Parfums,cove,works,0.2857142857142857
The Cove,Les Corps Glorieux (7 Visions De La Vie Des Ressuscités) (1939) : III L'Ange Aux Parfums,water,iii,0.25
The Cove,Les Corps Glorieux (7 Visions De La Vie Des Ressuscités) (1939) : III L'Ange Aux Parfums,water,risen,0
The Cove,Les Corps Glorieux (7 Visions De La Vie Des Ressuscités) (1939) : III L'Ange Aux Parfums,water,ones,0.25
The Cove,Les Corps Glorieux (7 Visions De La Vie Des Ressuscités) (1939) : III L'Ange Aux Parfums,water,glorious,0
The Cove,Les Corps Glorieux (7 Visions De La Vie Des Ressuscités) (1939) : III L'Ange Aux Parfums,water,bodies,0.3333333333333333
The Cove,Les Corps Glorieux (7 Visions De La Vie Des Ressuscités) (1939) : III L'Ange Aux Parfums,water,visions,0.23529411764705882
The Cove,Les Corps Glorieux (7 Visions De La Vie Des Ressuscités) (1939) : III L'Ange Aux Parfums,water,perfumes,0.2222222222222222
The Cove,Les Corps Glorieux (7 Visions De La Vie Des Ressuscités) (1939) : III L'Ange Aux Parfums,water,life,0.2857142857142857
The Cove,Les Corps Glorieux (7 Visions De La Vie Des Ressuscités) (1939) : III L'Ange Aux Parfums,water,angel,0.25
The Cove,Les Corps Glorieux (7 Visions De La Vie Des Ressuscités) (1939) : III L'Ange Aux Parfums,water,organ,0.3333333333333333
The Cove,Les Corps Glorieux (7 Visions De La Vie Des Ressuscités) (1939) : III L'Ange Aux Parfums,water,works,0.2857142857142857
The Cove,Les Corps Glorieux (7 Visions De La Vie Des Ressuscités) (1939) : III L'Ange Aux Parfums,thicker,iii,0
The Cove,Les Corps Glorieux (7 Visions De La Vie Des Ressuscités) (1939) : III L'Ange Aux Parfums,thicker,risen,0
The Cove,Les Corps Glorieux (7 Visions De La Vie Des Ressuscités) (1939) : III L'Ange Aux Parfums,thicker,ones,0
The Cove,Les Corps Glorieux (7 Visions De La Vie Des Ressuscités) (1939) : III L'Ange Aux Parfums,thicker,glorious,0
The Cove,Les Corps Glorieux (7 Visions De La Vie Des Ressuscités) (1939) : III L'Ange Aux Parfums,thicker,bodies,0
The Cove,Les Corps Glorieux (7 Visions De La Vie Des Ressuscités) (1939) : III L'Ange Aux Parfums,thicker,visions,0
The Cove,Les Corps Glorieux (7 Visions De La Vie Des Ressuscités) (1939) : III L'Ange Aux Parfums,thicker,perfumes,0
The Cove,Les Corps Glorieux (7 Visions De La Vie Des Ressuscités) (1939) : III L'Ange Aux Parfums,thicker,life,0
The Cove,Les Corps Glorieux (7 Visions De La Vie Des Ressuscités) (1939) : III L'Ange Aux Parfums,thicker,angel,0
The Cove,Les Corps Glorieux (7 Visions De La Vie Des Ressuscités) (1939) : III L'Ange Aux Parfums,thicker,organ,0
The Cove,Les Corps Glorieux (7 Visions De La Vie Des Ressuscités) (1939) : III L'Ange Aux Parfums,thicker,works,0
The Cove,You're The One,cove,one,0.14285714285714285
The Cove,You're The One,cove,way,0.18181818181818182
The Cove,You're The One,water,one,0.25
The Cove,You're The One,water,way,0.3076923076923077
The Cove,You're The One,thicker,one,0
The Cove,You're The One,thicker,way,0
The Cove,Greenback Dollar,cove,greenback,0.13333333333333333
The Cove,Greenback Dollar,cove,dollar,0.15384615384615385
The Cove,Greenback Dollar,cove,greenback,0.13333333333333333
The Cove,Greenback Dollar,cove,dollar,0.15384615384615385
The Cove,Greenback Dollar,cove,money,0.15384615384615385
The Cove,Greenback Dollar,water,greenback,0.23529411764705882
The Cove,Greenback Dollar,water,dollar,0.26666666666666666
The Cove,Greenback Dollar,water,greenback,0.23529411764705882
The Cove,Greenback Dollar,water,dollar,0.26666666666666666
The Cove,Greenback Dollar,water,money,0.26666666666666666
The Cove,Greenback Dollar,thicker,greenback,0
The Cove,Greenback Dollar,thicker,dollar,0
The Cove,Greenback Dollar,thicker,greenback,0
The Cove,Greenback Dollar,thicker,dollar,0
The Cove,Greenback Dollar,thicker,money,0
The Cove,As You Sleep,cove,sleep,0.15384615384615385
The Cove,As You Sleep,cove,north,0.3076923076923077
The Cove,As You Sleep,water,sleep,0.26666666666666666
The Cove,As You Sleep,water,north,0.3076923076923077
The Cove,As You Sleep,thicker,sleep,0
The Cove,As You Sleep,thicker,north,0
The Cove,Eternal Flame (Single Version),cove,single,0.11764705882352941
The Cove,Eternal Flame (Single Version),cove,version,0.14285714285714285
The Cove,Eternal Flame (Single Version),cove,eternal,0
The Cove,Eternal Flame (Single Version),cove,flame,0.26666666666666666
The Cove,Eternal Flame (Single Version),cove,eternal,0
The Cove,Eternal Flame (Single Version),cove,flame,0.26666666666666666
The Cove,Eternal Flame (Single Version),water,single,0.21052631578947367
The Cove,Eternal Flame (Single Version),water,version,0.25
The Cove,Eternal Flame (Single Version),water,eternal,0
The Cove,Eternal Flame (Single Version),water,flame,0.26666666666666666
The Cove,Eternal Flame (Single Version),water,eternal,0
The Cove,Eternal Flame (Single Version),water,flame,0.26666666666666666
The Cove,Eternal Flame (Single Version),thicker,single,0
The Cove,Eternal Flame (Single Version),thicker,version,0
The Cove,Eternal Flame (Single Version),thicker,eternal,0
The Cove,Eternal Flame (Single Version),thicker,flame,0
The Cove,Eternal Flame (Single Version),thicker,eternal,0
The Cove,Eternal Flame (Single Version),thicker,flame,0
The Cove,Tive Sim,cove,yes,0.125
The Cove,Tive Sim,cove,new,0
The Cove,Tive Sim,cove,top,0.3333333333333333
The Cove,Tive Sim,cove,hat,0.26666666666666666
The Cove,Tive Sim,water,yes,0.2222222222222222
The Cove,Tive Sim,water,new,0
The Cove,Tive Sim,water,top,0.3333333333333333
The Cove,Tive Sim,water,hat,0.26666666666666666
The Cove,Tive Sim,thicker,yes,0
The Cove,Tive Sim,thicker,new,0
The Cove,Tive Sim,thicker,top,0
The Cove,Tive Sim,thicker,hat,0
The Cove,The Fear You Won't Fall,cove,fear,0.15384615384615385
The Cove,The Fear You Won't Fall,cove,fall,0.15384615384615385
The Cove,The Fear You Won't Fall,cove,unclear,0
The Cove,The Fear You Won't Fall,cove,sky,0.3076923076923077
The Cove,The Fear You Won't Fall,water,fear,0.26666666666666666
The Cove,The Fear You Won't Fall,water,fall,0.26666666666666666
The Cove,The Fear You Won't Fall,water,unclear,0
