song_name,song_release,song_artist,listen_time
Voices,Russ Ballard,Russ Ballard,2
Jumping Jack Flash,Shine A Light,The Rolling Stones,6
It's Just A Thought,Pendulum,Creedence Clearwater Revival,1
The Dirty Glass,Live on Lansdowne_ Boston MA,Dropkick Murphys,4
Greenback Dollar,Karaoke: 60's Star Power - Singing to the Hits,The Kingston Trio,3
Zona De Jaleo,Entre Raices Y Antenas,Macaco,1
Veleta (En Vivo Auditorio Nacional),Lucero En Vivo  Auditorio Nacional,Lucero,2
I'm A Little Rocket Ship,The Golden Age,Cracker,4
Stronger,Graduation,Kanye West,19
Sweet Emotion,Toys In The Attic,Aerosmith,1
Isora Club,Chanchullo,Rubén González,1
Something In The Way,Nevermind,Nirvana,1
Fui Eu,O Passo Do Lui,Os Paralamas Do Sucesso,2
Pon De Floor,Pon De Floor,Major Lazer / Vybz Kartel / Afrojack,3
Hotel California,Hotel California / Pretty Maids All In A Row [Digital 45],Eagles,3
Splitting The Atom,Splitting The Atom,Massive Attack,3
Finnegan's Wake (Album Version),Do Or Die,Dropkick Murphys,2
Home Is Where The Heart Is,Flowers Of Romance,Public Image Ltd,7
Fortunate Son,Singles Collection Vol. 2,Dropkick Murphys,1
Tive Sim,Nova Bis-Cartola,Cartola,6
Rules Don't Stop,Rules Don't Stop,We Are Scientists,1
Seahorses Of Old Mexico,Seashores Of Old Mexico,Merle Haggard;Willie Nelson,4
As Time Goes By,Flamingo Serenades / Flamingo Favorites,The Flamingos,1
Captain Kelly's Kitchen,Live on Lansdowne_ Boston MA,Dropkick Murphys,3
Streets Of Laredo,Marty Robbins' All-Time Greatest Hits,Marty Robbins,3
Congo Mulence,Kenya: Afro-Cuban Jazz,Machito,1
Once In A Lifetime,Spectators,Wolfsheim,14
Freak These Tales,3:16 The 9th Edition,Murs,1
Oh What A Night,Their Very Best,The Dells,1
Intro,Bohemia,ILS,1
Kernkraft 400,Kernkraft 400 Single Mixes,Zombie Nation,1
Un Dia Con Otro,Profundamente,El Coyote Y Su Banda Tierra Santa,5
Living In The U.S.A. (1991 Digital Remaster),Sailor,Steve Miller Band,1
Takin' Care Of Business,A Knight's Tale - Music From The Motion Picture,Bachman Turner Overdrive,1
Why Do Fools Fall in Love,Rockola Baby Vol. 2,Frankie Lymon And The Teenagers,2
Casino Royale Theme (Main Title),Casino Royale,Burt Bacharach,1
Ban ban queré,Salsa Legende - Best of Tito Puente_ vol.2,Tito Puente,10
Tin Tin Deo,Kenya: Afro-Cuban Jazz,Machito,1
Bang On The Drum,Hello It's Me,Todd Rundgren,31
Cry,80s Triple Set,Godley & Creme,3
Earth Angel,The Ealy Hits Of Rock 'n' Roll,Penguins,2
The Spicy McHaggis Jig (Album Version),Sing Loud Sing Proud,Dropkick Murphys,2
Earache My Eye,Cheech & Chong's Greatest Hit,Cheech & Chong,6
Brimstone Landscapes,Fragmentary Evidence,Augury,2
Keep It Goin' Louder,Keep It Goin' Louder,Major Lazer / Nina Sky / Ricky Blaze,3
Jungle Love,Book Of Dreams,Steve Miller,1
Beat Street,The Greatest Hits,Grandmaster Flash & The Furious Five / Grandmaster Melle Mel,10
The One,Data Mix 1: Rudenko,Sharam Feat. Daniel Bedingfield,9
Everybody But Me,Youth Novels,Lykke Li,2
The Outcast (Album Version),Blackout,Dropkick Murphys,1
Lookin' Out My Back Door,The Singles Collection,Creedence Clearwater Revival,7
Feels So Good,Let's Go To Prison (OST),Chuck Mangione,2
Fields Of Athenry,Tessie,Dropkick Murphys,2
The Joker,Box Set,Steve Miller Band,1
Représente,Fat Come Back,Alliance Ethnik,9
The Only Road (Album Version),The Gangs All Here,Dropkick Murphys,2
Que Nadie,Inercia,Manuel Carrasco,1
Boyz-N-The-Hood,Niggas With Attitude - Chapter 2,N.W.A ft. Eazy-E,2
Unchained Melody,Rock N' Roll Legends,Righteous Brothers,3
Come Go With Me,Blue Jeans and Rockin' Teens,Del Vikings,1
Wonder,Un,Dan Black,4
The Seven Deadly Sins,Live at the Greek Theatre,Flogging Molly,1
Hello It's Me [LP Version],Something/Anything?,Todd Rundgren,1
Susie Darlin',Karaoke: Sing like the First Teen Idols - Singing to the Hits,Robin Luke,1
Glad All Over,B-Sides & Rarities,Terrorvision,5
Born On The Bayou,At The Movies,Creedence Clearwater Revival,7
Drunken Lullabies,Live at the Greek Theatre,Flogging Molly,3
Time to Go,Live on Lansdowne_ Boston MA,Dropkick Murphys,4
Opposite Of Adults,Now That's What I Call Music! 75,Chiddy Bang,2
88,The Bake Sale,The Cool Kids,1
Salty Dog,Live at the Greek Theatre,Flogging Molly,1
Dingue_ Dingue_ Dingue,On Trace La Route,Christophe Maé,1
Tighten Up,Tighten Up,The Black Keys,3
Come On Eileen,Kids Sing Along Pac,Dexys Midnight Runners,3
If You Want To Sing Out_ Sing Out,On The Road To Find Out (Repackaged),Cat Stevens,7
You Ain't Seen Nothing Yet,Music For Seventies,Bachman-Turner Overdrive,7
Mexican Radio,Mexican Radio,Wall Of Voodoo,2
Wonder,If You've Never Been,Embrace,2
As One (Album Version),Blackout,Dropkick Murphys,3
Kiss Me_ I'm Sh*tfaced,Live on Lansdowne_ Boston MA,Dropkick Murphys,1
Odessa,Odessa,Caribou,3
Take The Long Way Home,Sunday 8pm,Faithless,7
Light and space,Hypothetical,Threshold,2
Freewill,Retrospective I (1974-1980),Rush,1
The Legend of Finn MacCumhail (Album Version),Sing Loud Sing Proud,Dropkick Murphys,1
The Sweet Suffering,Pentecost III + The  Crestfallen EP,Anathema,5
Hold The Line,Guns Don't Kill People...Lazers Do,Major Lazer / Mr. Lex / Santigold,3
Fly Like An Eagle,Best 1991 - 2004,Seal,1
Mary Jane,Guns Don't Kill People...Lazers Do,Major Lazer / Mr. Evil / Mapei,3
