the first song,the second song,word1,word2,result
1,1,water,used,0
1,1,water,pain,0.25
1,1,water,playing,0.21052631578947367
1,1,water,angel,0.25
1,1,line,used,0
1,1,line,pain,0.2857142857142857
1,1,line,playing,0.23529411764705882
1,1,line,angel,0.2857142857142857
1,1,death,used,0
1,1,death,pain,0.4
1,1,death,playing,0.4
1,1,death,angel,0.4
1,1,dance,used,0
1,1,dance,pain,0.125
1,1,dance,playing,0.10526315789473684
1,1,dance,angel,0.125
1,1,human,used,0
1,1,human,pain,0.09090909090909091
1,1,human,playing,0.08
1,1,human,angel,0.09090909090909091
1,2,water,medicating,0
1,2,line,medicating,0
1,2,death,medicating,0
1,2,dance,medicating,0
1,2,human,medicating,0
1,3,water,crystal,0.5454545454545454
1,3,water,blue,0.25
1,3,water,persuasion,0.26666666666666666
1,3,water,anthology,0.23529411764705882
1,3,line,crystal,0.18181818181818182
1,3,line,blue,0.2857142857142857
1,3,line,persuasion,0.3076923076923077
1,3,line,anthology,0.11764705882352941
1,3,death,crystal,0.16666666666666666
1,3,death,blue,0.26666666666666666
1,3,death,persuasion,0.5714285714285714
1,3,death,anthology,0.1111111111111111
1,3,dance,crystal,0.3076923076923077
1,3,dance,blue,0.125
1,3,dance,persuasion,0.13333333333333333
1,3,dance,anthology,0.631578947368421
1,3,human,crystal,0.21052631578947367
1,3,human,blue,0.09090909090909091
1,3,human,persuasion,0.09523809523809523
1,3,human,anthology,0.32
1,4,water,dream,0.23529411764705882
1,4,water,recurring,0
1,4,water,best,0.25
1,4,water,crowded,0
1,4,water,house,0.2857142857142857
1,4,water,domestic,0.3076923076923077
1,4,line,dream,0.26666666666666666
1,4,line,recurring,0
1,4,line,best,0.2857142857142857
1,4,line,crowded,0
1,4,line,house,0.14285714285714285
1,4,line,domestic,0.15384615384615385
1,4,death,dream,0.375
1,4,death,recurring,0
1,4,death,best,0.5333333333333333
1,4,death,crowded,0
1,4,death,house,0.13333333333333333
1,4,death,domestic,0.14285714285714285
1,4,dance,dream,0.11764705882352941
1,4,dance,recurring,0
1,4,dance,best,0.125
1,4,dance,crowded,0
1,4,dance,house,0.625
1,4,dance,domestic,0.4444444444444444
1,4,human,dream,0.08695652173913043
1,4,human,recurring,0
1,4,human,best,0.09090909090909091
1,4,human,crowded,0
1,4,human,house,0.36363636363636365
1,4,human,domestic,0.5
1,5,water,marathon,0.23529411764705882
1,5,water,neighborhood,0.2857142857142857
1,5,water,watch,0.23529411764705882
1,5,line,marathon,0.26666666666666666
1,5,line,neighborhood,0.14285714285714285
1,5,line,watch,0.11764705882352941
1,5,death,marathon,0.5
1,5,death,neighborhood,0.13333333333333333
1,5,death,watch,0.1111111111111111
1,5,dance,marathon,0.11764705882352941
1,5,dance,neighborhood,0.375
1,5,dance,watch,0.5263157894736842
1,5,human,marathon,0.08695652173913043
1,5,human,neighborhood,0.2727272727272727
1,5,human,watch,0.32
1,6,water,love,0.26666666666666666
1,6,water,guy,0.3076923076923077
1,6,water,definitive,0
1,6,water,burt,0.3076923076923077
1,6,water,collection,0.3333333333333333
1,6,water,magic,0.25
1,6,water,moments,0.3076923076923077
1,6,line,love,0.3076923076923077
1,6,line,guy,0.15384615384615385
1,6,line,definitive,0
1,6,line,burt,0.15384615384615385
1,6,line,collection,0.6
1,6,line,magic,0.2857142857142857
1,6,line,moments,0.36363636363636365
1,6,death,love,0.2857142857142857
1,6,death,guy,0.14285714285714285
1,6,death,definitive,0
1,6,death,burt,0.14285714285714285
1,6,death,collection,0.36363636363636365
1,6,death,magic,0.4
1,6,death,moments,0.3333333333333333
1,6,dance,love,0.13333333333333333
1,6,dance,guy,0.4444444444444444
1,6,dance,definitive,0
1,6,dance,burt,0.4444444444444444
1,6,dance,collection,0.16666666666666666
1,6,dance,magic,0.125
1,6,dance,moments,0.15384615384615385
1,6,human,love,0.09523809523809523
1,6,human,guy,0.5
1,6,human,definitive,0
1,6,human,burt,0.5
1,6,human,collection,0.1111111111111111
1,6,human,magic,0.09090909090909091
1,6,human,moments,0.10526315789473684
1,7,water,jamaica,0.26666666666666666
1,7,water,roots,0.2857142857142857
1,7,water,ii,0.25
1,7,water,always,0
1,7,water,new,0
1,7,water,bis,0.4444444444444444
1,7,line,jamaica,0.13333333333333333
1,7,line,roots,0.3333333333333333
1,7,line,ii,0.2857142857142857
1,7,line,always,0
1,7,line,new,0
1,7,line,bis,0.2857142857142857
1,7,death,jamaica,0.125
1,7,death,roots,0.3076923076923077
1,7,death,ii,0.26666666666666666
1,7,death,always,0
1,7,death,new,0
1,7,death,bis,0.26666666666666666
1,7,dance,jamaica,0.35294117647058826
1,7,dance,roots,0.14285714285714285
1,7,dance,ii,0.125
1,7,dance,always,0
1,7,dance,new,0
1,7,dance,bis,0.26666666666666666
1,7,human,jamaica,0.2608695652173913
1,7,human,roots,0.1
1,7,human,ii,0.09090909090909091
1,7,human,always,0
1,7,human,new,0
1,7,human,bis,0.19047619047619047
1,8,water,lot,0.2857142857142857
1,8,water,kiss,0.26666666666666666
1,8,water,best,0.25
1,8,line,lot,0.3333333333333333
1,8,line,kiss,0.3076923076923077
1,8,line,best,0.2857142857142857
1,8,death,lot,0.3076923076923077
1,8,death,kiss,0.5714285714285714
